REGION,REGION_ABBR,YEAR,WEEK,EPIWEEK,% WEIGHTED ILI,% UNWEIGHTED ILI,ISSUE,RELEASE_DATE,NUM_PROVIDERS,NUM_PATIENTS,NUM_ILI,SOURCE
West Virginia,WV,2013,41,2013W41,0.600144,0.600144,201740,2017-10-24,35,12497,75,Delphi Epidata fluview (sourced from CDC FluView)
Wyoming,WY,2013,41,2013W41,0.645919,0.645919,201740,2017-10-24,24,5109,33,Delphi Epidata fluview (sourced from CDC FluView)
Alaska,AK,2013,42,2013W42,0.655431,0.655431,201740,2017-10-24,9,2136,14,Delphi Epidata fluview (sourced from CDC FluView)
Alabama,AL,2013,42,2013W42,1.58193,1.58193,201740,2017-10-24,30,15361,243,Delphi Epidata fluview (sourced from CDC FluView)
Arkansas,AR,2013,42,2013W42,1.67325,1.67325,201740,2017-10-24,19,4303,72,Delphi Epidata fluview (sourced from CDC FluView)
Arizona,AZ,2013,42,2013W42,1.05946,1.05946,201740,2017-10-24,61,28505,302,Delphi Epidata fluview (sourced from CDC FluView)
California,CA,2013,42,2013W42,1.74662,1.74662,201740,2017-10-24,133,39333,687,Delphi Epidata fluview (sourced from CDC FluView)
Colorado,CO,2013,42,2013W42,0.513635,0.513635,201740,2017-10-24,10,21416,110,Delphi Epidata fluview (sourced from CDC FluView)
Connecticut,CT,2013,42,2013W42,0.851115,0.851115,201740,2017-10-24,27,8342,71,Delphi Epidata fluview (sourced from CDC FluView)
District of Columbia,DC,2013,42,2013W42,5.67605,5.67605,201740,2017-10-24,3,2167,123,Delphi Epidata fluview (sourced from CDC FluView)
Delaware,DE,2013,42,2013W42,0.758725,0.758725,201740,2017-10-24,12,2636,20,Delphi Epidata fluview (sourced from CDC FluView)
Georgia,GA,2013,42,2013W42,1.01722,1.01722,201740,2017-10-24,40,34899,355,Delphi Epidata fluview (sourced from CDC FluView)
Hawaii,HI,2013,42,2013W42,1.98925,1.98925,201740,2017-10-24,18,1860,37,Delphi Epidata fluview (sourced from CDC FluView)
Iowa,IA,2013,42,2013W42,0.208695,0.208695,201740,2017-10-24,22,36896,77,Delphi Epidata fluview (sourced from CDC FluView)
Idaho,ID,2013,42,2013W42,0.822763,0.822763,201740,2017-10-24,8,2917,24,Delphi Epidata fluview (sourced from CDC FluView)
Illinois,IL,2013,42,2013W42,1.60253,1.60253,201740,2017-10-24,103,58470,937,Delphi Epidata fluview (sourced from CDC FluView)
Indiana,IN,2013,42,2013W42,0.984087,0.984087,201740,2017-10-24,38,9552,94,Delphi Epidata fluview (sourced from CDC FluView)
Kansas,KS,2013,42,2013W42,0.572597,0.572597,201740,2017-10-24,36,7335,42,Delphi Epidata fluview (sourced from CDC FluView)
Kentucky,KY,2013,42,2013W42,0.284356,0.284356,201740,2017-10-24,17,20397,58,Delphi Epidata fluview (sourced from CDC FluView)
